F11,F12,F13,F21,F22,F23,F31,F32,F33,W
1.3266332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3091393
1.3316582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33478403
1.3366834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.35934374
1.3417085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08928621
1.3467337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5006672
1.3517587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.20356523
1.3567839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.29145873
1.361809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.10209
1.3668342,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.21726002
1.3718593,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.23155533
1.3768845,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.23696712
1.3819096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.18772614
1.3869346,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.413499
1.3919598,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.29561082
1.3969849,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.39801818
1.4020101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.31596467
1.4070351,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4019525
1.4120603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25745568
1.4170854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.34950763
1.4221106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.44183034
1.4271357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.32595113
1.4321609,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.47830528
1.4371859,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.41866988
1.442211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36684078
1.4472362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.63036984
1.4522613,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.220717
1.4572864,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.41277122
1.4623115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.32219487
1.4673367,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.34008163
1.4723618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.44821393
1.477387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.52508867
1.4824121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.62797576
1.4874372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.33677143
1.4924623,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.51673365
1.4974874,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5438424
1.5025126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.24019149
1.5075377,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.34163404
1.5125628,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.49830437
1.5175879,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.55906045
1.522613,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.56578326
1.5276382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.55889404
1.5326633,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.59521
1.5376885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6171422
1.5427136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.62777793
1.5477387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.50601697
1.5527638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.68124425
1.557789,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5210822
1.5628141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.60261416
1.5678391,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3918156
1.5728643,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.63894373
1.5778894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6538382
1.5829146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7645783
1.5879397,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.71442133
1.5929649,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.598624
1.5979899,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6965044
1.6030151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6512958
1.6080402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.67872304
1.6130654,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9288909
1.6180904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.70816284
1.6231155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.77260023
1.6281407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8885684
1.6331658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.87639505
1.638191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9348424
1.6432161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.71991724
1.6482413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.77859336
1.6532663,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75231844
1.6582915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9017657
1.6633166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9187323
1.6683418,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9169621
1.6733668,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0780038
1.6783919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7893799
1.6834171,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9007955
1.6884422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.93309325
1.6934674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.875066
1.6984925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.82317084
1.7035176,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9505387
1.7085427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8706645
1.7135679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.95611316
1.718593,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0253999
1.723618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9883872
1.7286432,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0398018
1.7336683,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0660666
1.7386935,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1719198
1.7437186,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0981923
1.7487438,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1219555
1.7537689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0772363
1.758794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0996825
1.7638191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1449138
1.7688442,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0627826
1.7738693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9643537
1.7788944,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1819315
1.7839196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.112996
1.7889447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2295443
1.7939699,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2285441
1.798995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.266159
1.8040202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.339241
1.8090452,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1584065
1.8140703,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3027493
1.8190955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2770165
1.8241206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4028382
1.8291457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2684504
1.8341708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4098479
1.839196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4110665
1.8442211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3962264
